"产品大类","字段名","是否共用","是否小类特殊支持","字段使用描述"
"AUTO_CALL","BARRIER","是","否","单一障碍水平。 该字段参与产品分支/路径判断。"
"AUTO_CALL","BARRIER_DIRECTION","是","否","障碍方向（UP/DOWN），用于触发方向判断。 该字段参与产品分支/路径判断。"
"AUTO_CALL","BASE_CURRENCY_CODE","否","是","FX基础币种，决定货币对方向。 小类特殊支持：FX。"
"AUTO_CALL","BASE_DISCOUNT_CURVE","否","是","FX基础币贴现曲线。 小类特殊支持：FX。"
"AUTO_CALL","BUY_OR_SELL","是","否","买卖方向，决定PV与Greeks符号。 该字段参与产品分支/路径判断。"
"AUTO_CALL","CURRENCY_CODE","是","否","定价或名义币种字段。"
"AUTO_CALL","DISCOUNT_CURVE","是","否","贴现曲线代码，用于现金流折现。"
"AUTO_CALL","INSTRUMENT_ID","是","否","交易唯一标识，用于结果回写与定位。"
"AUTO_CALL","NOTIONAL","是","否","名义本金，按比例放大PV与Greeks。"
"AUTO_CALL","OBS_DATE","是","否","观察日序列，用于逐点触发或区间累计判断。 该字段参与产品分支/路径判断。"
"AUTO_CALL","PATH_FLAG","否","否","是否输出路径相关信息开关。 备注：是否输出路径标记。"
"AUTO_CALL","PATH_NB","否","否","蒙特卡洛路径数。 备注：蒙特卡洛路径数。 该字段参与产品分支/路径判断。"
"AUTO_CALL","PAYOFF_RATE","是","否","收益率支付参数。"
"AUTO_CALL","PREMIUM_RATE","是","否","溢价费率或票息费率参数。"
"AUTO_CALL","PRICE_CURVE","否","是","标的价格/远期曲线代码。 小类特殊支持：COMM/EQ。 该字段参与产品分支/路径判断。"
"AUTO_CALL","PRODUCT_CODE","是","否","产品代码，决定具体定价/敏感性实现。"
"AUTO_CALL","SETTLE_CALENDAR","否","否","结算日历。 备注：支付日规则。"
"AUTO_CALL","SETTLE_DATE","是","否","结算日，用于贴现与交割时点。"
"AUTO_CALL","SETTLE_DAYOFF","否","否","节假日处理规则。 备注：支付日规则。"
"AUTO_CALL","SETTLE_RULE","否","否","结算规则（顺延/前移等）。 备注：支付日规则。"
"AUTO_CALL","START_DATE","是","否","起始日，用于剩余期限与路径窗口计算。"
"AUTO_CALL","UNDERLYING_CURRENCY_CODE","否","是","FX标的币种，决定货币对方向。 小类特殊支持：FX。"
"AUTO_CALL","UNDERLYING_DISCOUNT_CURVE","否","是","FX标的币贴现曲线。 小类特殊支持：FX。"
"AUTO_CALL","VOLATILITY_SURFACE","是","否","波动率曲面代码，用于期权定价和Vega。"
"SHARKFIN","BASE_DISCOUNT_CURVE","否","是","FX基础币贴现曲线。 小类特殊支持：FX。"
"SHARKFIN","BASE_RATE","是","否","基础收益率参数。"
"SHARKFIN","BUY_OR_SELL","是","否","买卖方向，决定PV与Greeks符号。"
"SHARKFIN","DOWN_BARRIER","否","否","下障碍（兼容命名），与LOWER_BARRIER语义类似。 该字段参与产品分支/路径判断。"
"SHARKFIN","FIXING_ID","否","是","定盘数据标识，用于历史观测和窗口内判断。 备注：IR常用。 小类特殊支持：IR。 该字段参与产品分支/路径判断。"
"SHARKFIN","INSTRUMENT_ID","是","否","交易唯一标识，用于结果回写与定位。"
"SHARKFIN","MATURITY_DATE","是","否","到期日，用于终值计算与到期分支。"
"SHARKFIN","NOTIONAL","是","否","名义本金，按比例放大PV与Greeks。"
"SHARKFIN","OPTION_TYPE","是","否","期权形态（Call/Put/Double等），用于分支逻辑。 该字段参与产品分支/路径判断。"
"SHARKFIN","PRICE_CURVE","否","是","标的价格/远期曲线代码。 小类特殊支持：COMM/EQ/IR。"
"SHARKFIN","PRODUCT_CODE","是","否","产品代码，决定具体定价/敏感性实现。"
"SHARKFIN","RATE_TYPE","否","是","利率类型标识（如Shibor/Libor）。 小类特殊支持：IR。"
"SHARKFIN","SETTLE_DATE","是","否","结算日，用于贴现与交割时点。"
"SHARKFIN","SETTLE_DISCOUNT_CURVE","是","是","结算贴现曲线代码。 小类特殊支持：EQ。"
"SHARKFIN","START_DATE","是","否","起始日，用于剩余期限与路径窗口计算。"
"SHARKFIN","SWITCH_DATE","否","否","切换日。 当OPTION_TYPE=UP_DOWN或DOWN_UP时必填，用于前后两段存续期切换。 该字段参与产品分支/路径判断。"
"SHARKFIN","STRIKE_PRICE","是","否","行权价，决定内在价值与数字触发阈值。"
"SHARKFIN","TERM_CODE","否","是","期限代码（如1M/3M）。 小类特殊支持：IR。"
"SHARKFIN","TERM_FREQ","否","是","期限频率信息。 小类特殊支持：IR。"
"SHARKFIN","TOUCH_RATE","是","否","触碰后参与率/收益率参数。"
"SHARKFIN","UNDERLYING_CODE","否","是","标的代码（市场数据映射）。 备注：或UNDERLYING_CURRENCY_CODE+BASE_CURRENCY_CODE。 小类特殊支持：COMM/FX。"
"SHARKFIN","UNDERLYING_DISCOUNT_CURVE","否","是","FX标的币贴现曲线。 小类特殊支持：FX。"
"SHARKFIN","UPPER_BARRIER","否","否","上障碍，用于敲出/区间上限判断。 该字段参与产品分支/路径判断。"
"SHARKFIN","VOLATILITY_SURFACE","是","否","波动率曲面代码，用于期权定价和Vega。"
